id,period_id,number,color,scraped_at
6246,20250826100011425,6,RED,2025-08-26 23:45:59.709776+00
6247,20250826100011427,7,GREEN,2025-08-26 23:47:02.52102+00
6248,20250826100011428,6,RED,2025-08-26 23:48:05.263521+00
6249,20250826100011429,4,RED,2025-08-26 23:49:08.073985+00
6250,20250826100011430,8,RED,2025-08-26 23:50:10.853726+00
6251,20250826100011431,8,RED,2025-08-26 23:51:13.696246+00
6252,20250826100011432,6,RED,2025-08-26 23:52:16.502585+00
6253,20250826100011433,9,GREEN,2025-08-26 23:53:19.20358+00
6254,20250826100011434,3,GREEN,2025-08-26 23:54:21.951739+00
6255,20250826100011435,3,GREEN,2025-08-26 23:55:24.834208+00
6256,20250826100011436,3,GREEN,2025-08-26 23:56:27.610287+00
6257,20250826100011437,2,RED,2025-08-26 23:57:30.470443+00
6258,20250826100011438,0,VIOLET,2025-08-26 23:58:33.209665+00
6259,20250826100011439,6,RED,2025-08-26 23:59:35.960603+00
6260,20250826100011440,9,GREEN,2025-08-27 00:00:38.664162+00
6261,20250827100010001,6,RED,2025-08-27 00:01:41.402425+00
6262,20250827100010002,1,GREEN,2025-08-27 00:02:44.168099+00
6263,20250827100010003,1,GREEN,2025-08-27 00:03:46.996327+00
6264,20250827100010004,3,GREEN,2025-08-27 00:04:49.666331+00
6265,20250827100010005,0,VIOLET,2025-08-27 00:05:52.412634+00
6266,20250827100010006,2,RED,2025-08-27 00:06:55.135199+00
6267,20250827100010008,1,GREEN,2025-08-27 00:07:57.887313+00
6268,20250827100010007,6,RED,2025-08-27 00:07:57.887334+00
6269,20250827100010009,7,GREEN,2025-08-27 00:09:00.787132+00
6270,20250827100010010,9,GREEN,2025-08-27 00:10:03.573431+00
6271,20250827100010011,7,GREEN,2025-08-27 00:11:06.347243+00
6272,20250827100010012,9,GREEN,2025-08-27 00:12:09.045345+00
6273,20250827100010013,3,GREEN,2025-08-27 00:13:11.868296+00
6274,20250827100010014,5,VIOLET,2025-08-27 00:14:14.901945+00
6275,20250827100010015,3,GREEN,2025-08-27 00:15:17.642276+00
6276,20250827100010016,0,VIOLET,2025-08-27 00:16:20.357369+00
6277,20250827100010017,9,GREEN,2025-08-27 00:17:23.086481+00
6278,20250827100010018,4,RED,2025-08-27 00:18:25.810449+00
6279,20250827100010019,7,GREEN,2025-08-27 00:19:28.566732+00
6280,20250827100010020,6,RED,2025-08-27 00:20:31.406658+00
6281,20250827100010021,6,RED,2025-08-27 00:21:34.211591+00
6282,20250827100010022,0,VIOLET,2025-08-27 00:22:36.972084+00
6283,20250827100010023,9,GREEN,2025-08-27 00:23:39.677548+00
6284,20250827100010024,7,GREEN,2025-08-27 00:24:42.676994+00
6285,20250827100010025,8,RED,2025-08-27 00:25:45.479345+00
6286,20250827100010026,1,GREEN,2025-08-27 00:26:48.158893+00
6287,20250827100010027,9,GREEN,2025-08-27 00:27:50.862474+00
6288,20250827100010028,3,GREEN,2025-08-27 00:28:53.60398+00
6289,20250827100010029,5,VIOLET,2025-08-27 00:29:56.41108+00
6290,20250827100010031,1,GREEN,2025-08-27 00:30:59.276304+00
6291,20250827100010030,8,RED,2025-08-27 00:30:59.276324+00
6292,20250827100010032,0,VIOLET,2025-08-27 00:32:02.206052+00
6293,20250827100010033,6,RED,2025-08-27 00:33:05.0759+00
6294,20250827100010034,1,GREEN,2025-08-27 00:34:07.84628+00
6295,20250827100010035,6,RED,2025-08-27 00:35:10.670997+00
6296,20250827100010036,3,GREEN,2025-08-27 00:36:13.519939+00
6297,20250827100010037,5,VIOLET,2025-08-27 00:37:16.201331+00
6298,20250827100010038,4,RED,2025-08-27 00:38:18.873159+00
6299,20250827100010039,6,RED,2025-08-27 00:39:21.595051+00
6300,20250827100010040,1,GREEN,2025-08-27 00:40:24.468947+00
6301,20250827100010041,6,RED,2025-08-27 00:41:27.216954+00
6302,20250827100010042,5,VIOLET,2025-08-27 00:42:29.98509+00
6303,20250827100010043,9,GREEN,2025-08-27 00:43:32.93774+00
6304,20250827100010044,9,GREEN,2025-08-27 00:44:36.016645+00
6305,20250827100010045,8,RED,2025-08-27 00:45:38.815583+00
6306,20250827100010046,7,GREEN,2025-08-27 00:46:41.574725+00
6307,20250827100010047,5,VIOLET,2025-08-27 00:47:44.283063+00
6308,20250827100010048,9,GREEN,2025-08-27 00:48:46.95846+00
6309,20250827100010049,6,RED,2025-08-27 00:49:49.956765+00
6310,20250827100010050,7,GREEN,2025-08-27 00:50:53.187844+00
6311,20250827100010051,7,GREEN,2025-08-27 00:51:55.995709+00
6312,20250827100010053,5,VIOLET,2025-08-27 00:52:58.731612+00
6313,20250827100010052,4,RED,2025-08-27 00:52:58.731636+00
6314,20250827100010054,0,VIOLET,2025-08-27 00:54:01.604462+00
6315,20250827100010055,4,RED,2025-08-27 00:55:04.420383+00
6316,20250827100010056,1,GREEN,2025-08-27 00:56:07.195836+00
6317,20250827100010057,5,VIOLET,2025-08-27 00:57:09.887404+00
6318,20250827100010058,6,RED,2025-08-27 00:58:12.644171+00
6319,20250827100010059,3,GREEN,2025-08-27 00:59:15.384362+00
6320,20250827100010060,7,GREEN,2025-08-27 01:00:18.205655+00
6321,20250827100010061,9,GREEN,2025-08-27 01:01:20.869669+00
6322,20250827100010062,4,RED,2025-08-27 01:02:23.64499+00
6323,20250827100010063,5,VIOLET,2025-08-27 01:03:26.53659+00
6324,20250827100010064,3,GREEN,2025-08-27 01:04:29.36781+00
6325,20250827100010065,6,RED,2025-08-27 01:05:32.037509+00
6326,20250827100010066,0,VIOLET,2025-08-27 01:06:34.808331+00
6327,20250827100010067,1,GREEN,2025-08-27 01:07:37.57468+00
6328,20250827100010068,2,RED,2025-08-27 01:08:40.43524+00
